No	Rem
0496	SB1, AA 352, 479 /
0508	SB1, AA 352, 479 / Orbit /
0515	SB AA 235, 114 /
0533	Double, sep=0".124, DH=0.25 mag, AA 375, 989 /
0533	SB2, AA 352, 479 /
0534	SB1, orbit, ApJ 521, 682 /
0536	SB AA 235, 114 /
0538	SB ApJ 376, 514 /SB1, AA 354,881 /
0538	SP(K,H,M) A3-A8-F3  PASP 98,307 /
0539	SB1, AA 352, 479 / Orbit /
0540	Double, sep=3".35, DK=5.67 mag, AA 375, 989 /
0540	SB1, AA 352, 479 / Orbit /
0547	SB1, AA 352, 479 /
0549	SB1 AA 235, 114 /
0552	IDS 08382N1924A / S CNC / EB, APJ 285,208 /
0556	SB1 AA 235, 114 /
0601	White dwarf, WD0837+199, ApJ 563,987 / NE-908, LB 390, EG 59 /
0602	White dwarf, WD0836+197, ApJ 563,987 / SE-1712, LB 5893 /
0603	White dwarf, WD0837+202, ApJ 563,987 / LB 1876 /
0604	White dwarf, WD0836+201, ApJ 563,987 / NE-1090, LB 393, EG 61 /
0605	White dwarf, WD0838+202, ApJ 563,987 / SE-664 /
0606	White dwarf, WD0836+199, ApJ 563,987 / NE-1155, LB 1847, EG 60 /
0607	White dwarf, WD0838+200, ApJ 563,987 / LB 6072 /
0607	QSO J0843+1937, AJ 128, 1784 /
0608	White dwarf, WD0833+199, ApJ 563,987 / LB 1839 /
0608	QSO J0838+1933, AJ 128, 1784 /
0609	White dwarf, WD0834+209, ApJ 563,987 / NNW-13 /
0609	QSO J0837+2040, AJ 128, 1784 /
0610	White dwarf, WD0837+203, ApJ 563,987 / LB 6037 /
0610	QSO J0843+1955, AJ 128, 1784 /
0611	Candidate white dwarf 1, MNRAS 355, L39 /
0612	White dwarf WD0837+185, MNRAS 355, L39 / LB 5959 /
0613	White dwarf WD0837+218, MNRAS 355, L39 /
0614	Candidate white dwarf 4, MNRAS 355, L39 /
0615	Candidate white dwarf 5, MNRAS 355, L39 /
0616	Candidate white dwarf 6, MNRAS 355, L39 /
0809	Double, sep=1".737, DK=1.35 mag, AA 375, 989 /
0851	Art 745 /
0869	Art 798 /
0901	DSouble, sep=2".428, DK=0.31 mag, AA 375, 989 /
1133	HR 3387, 35 CNC /
1142	SB1 AA 235, 114 /
1184	Double, sep=1".285, DK=2.42 mag, AA 375, 989 /
1184	SB1 AA 235, 114 /
1452	Double, sep=0".390, DK=2.62 mag, AA 375, 989 /
1995	Double, sep=0".337, DK=0.18 mag, AA 375, 989 /
