No	Mag	X	Y
0191	13.04	-45.27	-266.40
0192	10.96	-43.84	-249.60
0193	12.96	-39.42	7.21
0194	12.88	-39.42	6.61
0195	12.79	-39.54	-171.59
0196	10.74	-39.70	-400.24
0197	13.19	-38.11	-140.99
0198	12.62	-35.32	-197.40
0199	13.48	-32.39	-15.59
0200	13.35	-34.03	-390.64
0201	12.95	-32.45	-122.39
0202	13.86	-30.94	62.41
0203	7.72	-30.95	34.81
0204	6.67	-31.01	-75.59
0205	13.45	-31.15	-331.82
0206	11.41	-28.26	-203.40
0207	7.67	-26.87	-256.81
0208	10.67	-25.44	-223.80
0209	12.73	-23.96	-58.20
0210	13.70	-19.72	-42.00
0211	13.90	-18.38	-241.21
0212	6.59	-18.36	-161.40
0213	11.81	-18.36	-157.80
0214	13.64	-18.35	-153.60
0215	11.30	-16.90	-15.00
0216	10.22	-16.84	198.01
0217	10.24	-15.55	-243.61
0218	9.37	-15.43	205.81
0219	12.65	-15.59	-384.04
0220	13.94	-15.57	-299.42
0221	12.00	-14.09	-60.00
0222	10.11	-12.66	27.60
0223	13.37	-9.89	-201.61
0224	7.32	-11.29	-157.20
0225	13.34	-11.34	-379.24
0226	8.89	-8.44	61.20
0227	9.49	-8.49	-284.42
0228	13.62	-8.48	-231.01
0229	8.39	-8.47	-160.80
0230	9.78	-7.05	-115.20
0231	12.10	-7.05	-70.20
0232	9.23	-7.04	15.60
0233	13.81	-5.66	-300.02
0234	9.96	-2.83	-374.44
0235	12.59	-5.66	-235.21
0236	11.93	-5.65	-151.80
0237	12.87	-5.65	-148.20
0238	10.29	-4.23	-65.40
0239	9.66	-4.22	52.80
0240	13.06	-2.82	-72.60
0241	12.82	-2.82	-25.80
0242	12.70	-2.84	-397.25
0243	12.63	-1.40	189.01
0244	10.05	-1.42	-356.44
0245	13.06	0.00	-353.44
0246	12.05	0.00	-73.80
0247	12.88	0.00	70.20
0248	11.53	0.00	73.20
0249	13.90	1.42	-360.04
0250	9.79	1.42	-93.60
0251	13.98	2.82	-145.80
0252	13.12	2.82	-120.00
0253	6.39	2.82	6.60
0254	13.80	4.22	44.40
0255	11.61	4.21	141.00
0256	12.63	4.25	-346.83
0257	11.01	4.24	-245.41
0258	10.24	4.24	-192.61
0259	12.80	5.62	138.00
0260	13.42	5.62	139.20
0261	13.90	7.09	-343.23
0262	13.67	8.47	-164.40
0263	12.00	8.47	-132.00
0264	12.59	9.82	175.21
0265	6.61	9.86	-6.60
0266	11.70	9.89	-196.81
0267	13.18	14.10	-75.60
0268	9.89	12.71	-126.00
0269	12.90	11.32	-296.42
0270	11.74	16.84	208.21
0271	8.81	15.49	1.80
0272	12.70	16.91	-26.40
0273	12.35	18.30	31.80
0274	11.56	18.31	-18.00
0275	9.96	19.74	-72.60
0276	7.54	19.77	-164.40
0277	12.72	19.80	-250.81
0278	13.24	19.87	-447.67
0279	7.70	23.99	-108.60
0280	13.86	22.60	-162.60
0281	12.53	22.67	-343.83
0282	10.08	25.32	42.60
0283	6.43	25.39	-114.59
0284	6.78	22.62	-230.41
0285	13.14	28.09	153.01
0286	8.02	26.78	-55.19
0287	10.37	26.80	-113.39
0288	10.70	26.84	-188.40
0290	12.79	30.87	196.81
0291	10.38	32.30	142.81
0292	8.19	30.94	69.61
0293	9.87	31.08	-184.20
0294	13.48	31.16	-344.42
0295	9.38	31.04	-108.59
0296	13.85	33.72	124.81
0297	11.64	33.73	117.01
0298	14.00	33.76	67.21
0299	13.21	33.87	-119.99
0300	6.30	32.48	-159.59
0301	11.16	33.95	-255.60
0302	11.89	34.06	-448.26
0303	12.43	36.83	-336.62
0304	11.52	37.97	76.81
0305	12.06	39.45	-24.59
0306	13.75	38.16	-208.79
0307	13.37	38.25	-346.22
0308	13.26	36.84	-351.62
0309	11.63	39.46	-49.79
0310	12.98	39.59	-227.40
0311	10.71	38.27	-372.63
0312	13.01	38.28	-385.83
0313	12.19	42.34	-127.79
0314	13.17	41.14	-424.25
0315	12.22	43.55	136.22
0316	13.43	43.71	-77.38
0317	13.08	43.78	-163.79
0318	8.66	41.04	-285.60
0319	14.04	42.47	-303.01
0320	12.48	45.29	-288.60
0321	11.71	47.90	-30.58
0322	10.87	50.80	-114.58
0323	7.80	50.94	-273.59
0324	10.80	53.31	209.43
0325	10.61	55.18	-275.39
0326	11.34	55.06	-151.78
0327	11.63	53.50	9.62
0328	6.85	55.01	-96.58
0329	13.62	56.33	-7.17
0330	13.55	57.53	190.24
0331	13.76	59.22	-74.97
0332	9.56	60.81	-244.18
0333	10.35	60.72	-160.17
0334	11.01	62.09	-118.17
0335	11.02	61.98	-23.96
0336	11.46	63.80	-390.61
0337	12.73	65.25	-417.02
0338	11.56	65.13	-309.59
0339	13.76	64.84	-57.56
0340	8.48	67.47	100.24
0341	10.30	69.22	-181.76
0342	13.02	70.45	-40.76
0343	13.43	70.77	-289.78
0344	12.11	71.83	-19.16
0345	13.58	73.46	-182.96
0346	13.25	73.38	-126.56
0347	12.59	73.28	-44.35
0348	6.79	73.41	-146.96
0349	12.23	74.75	-91.15
0350	8.71	74.65	-19.15
0351	13.78	77.69	-181.75
0352	13.30	80.32	-40.14
0353	12.35	81.42	169.26
0354	13.27	87.20	64.87
0355	13.66	86.03	-86.94
0356	11.04	86.15	-167.34
0357	12.73	86.28	-252.55
0358	12.72	87.56	-170.34
0359	13.78	90.33	-137.33
0360	11.76	89.06	-222.54
0361	11.87	91.58	-29.33
0362	13.93	91.59	-40.73
0363	12.44	90.43	-194.93
0364	13.42	90.58	-286.75
0365	10.18	90.64	-329.96
0366	13.48	92.88	31.88
0367	10.70	93.01	-47.92
0368	11.51	94.44	-60.52
0369	14.01	95.72	14.48
0370	9.04	94.43	-56.92
0371	10.11	93.22	-172.13
0372	13.03	95.67	46.88
0373	12.56	94.93	-353.96
0374	13.74	98.46	55.89
0375	8.33	98.60	-23.91
0376	12.97	97.48	-184.12
0377	6.73	98.25	175.89
0378	13.85	99.24	-384.56
0379	11.88	99.31	-424.18
0380	13.66	103.05	-140.91
0381	13.50	103.13	-184.11
0382	13.27	103.35	-304.73
0383	13.78	103.42	-346.14
0384	13.03	188.69	-423.36
0385	7.92	106.09	-261.52
