No	Mag	X	Y
1001	13.96	-1484.30	339.98
1004	15.32	-1471.37	192.88
1008	11.61	-1490.78	-1208.22
1009	16.80	-1468.16	-152.54
1013	14.14	-1434.83	794.68
1016	15.02	-1425.95	442.25
1018	14.71	-1418.48	455.34
1020	15.69	-1424.37	-144.35
1021	14.63	-1428.93	-680.49
1022	14.99	-1417.77	-405.59
1024	9.79	-1428.62	-1121.08
1026	15.38	-1423.01	-1290.17
1028	10.44	-1397.19	-1094.42
1029	16.59	-1392.38	-838.90
1032	14.56	-1341.71	630.70
1036	15.80	-1301.26	561.28
1037	14.92	-1330.06	-1126.77
1038	16.08	-1295.90	133.53
1039	16.08	-1302.18	-715.06
1041	15.98	-1303.40	-1118.11
1043	14.77	-1268.20	641.88
1044	12.38	-1269.63	-103.82
1045	13.99	-1255.18	145.43
1046	13.95	-1254.24	-909.07
1049	11.39	-1218.75	-99.26
1050	15.95	-1196.01	-216.85
1051	9.18	-1181.31	330.53
1052	11.76	-1191.70	-399.68
1053	11.53	-1193.21	-1219.70
1054	15.14	-1127.08	-175.22
1057	14.17	-1098.58	461.42
1058	16.33	-1117.80	-1199.52
1059	6.76	-1102.58	-1264.83
1063	12.56	-1075.31	-908.42
1064	15.34	-1066.36	-593.26
1066	16.87	-1054.72	-903.25
1067	16.74	-973.80	326.69
1068	10.73	-1048.90	-1009.90
1069	15.03	-1033.73	62.58
1070	16.48	-1019.86	-188.16
1071	15.62	-1013.88	-280.17
1072	11.56	-1017.26	-525.34
1074	14.07	-992.02	-168.10
1075	11.15	-978.89	-54.13
1076	15.25	-973.80	326.69
1077	16.09	-981.35	-1228.17
1080	12.04	-938.25	734.94
1082	14.77	-957.32	-1304.39
1083	15.03	-935.32	406.07
1084	15.57	-905.49	490.40
1085	14.10	-909.57	47.10
1087	17.49	-908.92	-604.16
1088	15.34	-908.97	-607.77
1090	14.55	-901.46	-1070.51
1092	12.72	-897.72	-883.34
1093	13.95	-885.33	-340.62
1094	15.75	-875.60	347.61
1095	17.20	-871.50	329.53
1096	14.40	-860.30	179.83
1097	15.49	-875.74	-1129.79
1099	17.01	-867.83	-1080.47
1101	10.48	-849.68	-273.74
1102	15.01	-854.25	-1048.69
1103	17.38	-828.60	-335.23
1105	14.46	-805.99	653.19
1106	14.46	-815.64	-345.58
1107	13.82	-814.61	-1314.14
1111	16.30	-789.56	317.73
1112	15.32	-805.01	-1242.49
1115	12.62	-789.90	-792.35
1118	15.11	-780.97	-228.22
1119	13.97	-771.60	246.66
1122	14.95	-776.31	-473.33
1124	14.84	-768.48	-143.08
1125	11.25	-762.44	-119.72
1127	16.10	-751.05	560.59
1129	14.68	-760.44	-911.71
