# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Jun  8 19:25:14 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=.0837, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.020322 0.15000 8.84510 0.2502980828 1.8410818577    0.250 -2.270  3.4801  4.979    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.38e-16      0.00 6.946e-01 2.850e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 10.444 16.501 14.951 13.395 11.943 10.238 8.520 7.902 7.606
0.020322 0.15000 8.84510 0.2758752108 1.9019087553    0.276 -2.185  3.4867  4.963    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.16e-16      0.00 6.945e-01 2.851e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 10.233 16.074 14.572 13.025 11.621 9.978 8.326 7.706 7.415
0.020322 0.15000 8.84510 0.3004415333 1.9537974596    0.300 -2.111  3.4926  4.949    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.99e-16      0.00 6.945e-01 2.851e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 10.047 15.712 14.247 12.712 11.348 9.752 8.154 7.531 7.246
0.020322 0.15000 8.84510 0.3163672686 1.9845758677    0.316 -2.059  3.4959  4.933    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.71e-16      0.00 6.947e-01 2.849e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 9.918 15.483 14.042 12.517 11.175 9.604 8.032 7.408 7.127
0.020322 0.15000 8.84510 0.3502385020 2.0438082218    0.350 -1.962  3.5031  4.909    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.18e-16      0.00 6.949e-01 2.847e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 9.674 15.046 13.645 12.141 10.843 9.321 7.805 7.177 6.902
0.020322 0.15000 8.84510 0.4002087116 2.1187899113    0.400 -1.814  3.5147  4.865    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-15      0.00 6.949e-01 2.847e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 9.304 14.400 13.048 11.571 10.337 8.895 7.463 6.826 6.562
0.020322 0.15000 8.84510 0.4501788914 2.1824924946    0.450 -1.666  3.5265  4.815    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-15      0.00 6.949e-01 2.847e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 8.934 13.793 12.472 11.022 9.845 8.477 7.122 6.473 6.220
0.020322 0.15000 8.84510 0.5001490712 2.2376079559    0.500 -1.516  3.5401  4.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-15      0.00 6.949e-01 2.847e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 8.559 13.196 11.887 10.466 9.347 8.055 6.780 6.118 5.877
0.020322 0.15000 8.84510 0.5501192808 2.2837572098    0.550 -1.361  3.5571  4.719    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-15      0.00 6.964e-01 2.833e-01 3.649e-03 9.845e-04 8.929e-03 -1.000 2.025e-02 8.172 12.595 11.266 9.864 8.806 7.620 6.438 5.760 5.534
0.020322 0.15000 8.84510 0.6000894904 2.3211820126    0.600 -1.203  3.5788  4.686    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.61e-15      0.00 6.967e-01 2.830e-01 3.646e-03 9.837e-04 8.922e-03 -1.000 2.028e-02 7.778 11.973 10.593 9.199 8.207 7.176 6.105 5.409 5.206
