# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Dec 10 23:56:50 CET 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.3, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.017873 0.09000 9.39794 0.0900000036 1.0816895962    0.090 -3.432  3.3575  5.206    0 13.350 22.919 20.310 18.431 16.233 13.966 11.358 10.719 10.400
0.017873 0.09000 9.39794 0.0955582857 1.1328942776    0.096 -3.332  3.3714  5.188    0 13.100 22.633 20.045 18.172 15.980 13.716 11.108 10.470 10.150
0.017873 0.09000 9.39794 0.1000000015 1.1711064577    0.100 -3.256  3.3819  5.174    0 12.910 22.416 19.844 17.974 15.787 13.526 10.918 10.281 9.959
0.017873 0.09000 9.39794 0.1200000048 1.3193155527    0.120 -3.000  3.4146  5.128    1 12.271 21.691 19.168 17.312 15.141 12.887 10.281 9.645 9.318
0.017873 0.09000 9.39794 0.1300523877 1.3821759224    0.130 -2.903  3.4259  5.110    0 12.027 20.939 18.582 16.761 14.700 12.520 10.057 9.421 9.093
0.017873 0.09000 9.39794 0.1400000006 1.4384527206    0.140 -2.813  3.4362  5.094    0 11.803 20.160 17.971 16.194 14.255 12.159 9.857 9.220 8.893
0.017873 0.09000 9.39794 0.1599999964 1.5372931957    0.160 -2.671  3.4501  5.066    1 11.448 19.127 17.133 15.415 13.625 11.638 9.534 8.896 8.572
0.017873 0.09000 9.39794 0.2000000030 1.6938791275    0.200 -2.456  3.4689  5.023    1 10.911 17.772 16.004 14.342 12.739 10.913 9.041 8.401 8.086
0.017873 0.09000 9.39794 0.2500000000 1.8403258324    0.250 -2.253  3.4854  4.982    0 10.402 16.661 15.043 13.420 11.955 10.272 8.571 7.929 7.626
0.017873 0.09000 9.39794 0.3000000119 1.9529139996    0.300 -2.093  3.4970  4.948    1 10.003 15.900 14.365 12.769 11.387 9.799 8.201 7.554 7.262
