# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Dec  8 07:25:57 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.1, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.84510 0.6000000238 2.3211214542    0.600 -1.111  3.5953  4.660    1  0.000  0.545     0.00     0.00 -1 -5.88e-15      0.00 7.293e-01 2.568e-01 2.496e-03 6.736e-04 6.111e-03 -1.000 1.389e-02 7.547 11.556 10.149 8.761 7.812 6.930 5.945 5.249 5.066
0.01471 0.00000 9.84510 0.6499999762 2.3520355225    0.650 -0.938  3.6249  4.640    1  0.000  0.544     0.00     0.00 -1  -8.6e-15      0.00 7.316e-01 2.546e-01 2.478e-03 6.688e-04 6.068e-03 -1.000 1.381e-02 7.114 10.814 9.370 8.070 7.193 6.472 5.580 4.884 4.748
0.01471 0.00000 9.84510 0.6548643112 2.3547544479    0.655 -0.921  3.6279  4.639    1  0.000  0.544     0.00     0.00 -1 -8.92e-15      0.00 7.318e-01 2.544e-01 2.476e-03 6.683e-04 6.064e-03 -1.000 1.379e-02 7.072 10.735 9.290 8.001 7.133 6.428 5.545 4.852 4.721
0.01471 0.00000 9.84510 0.7000000477 2.3779268265    0.700 -0.770  3.6550  4.626    1  0.000  0.544     0.00     0.00 -1 -1.24e-14      0.00 7.337e-01 2.526e-01 2.461e-03 6.643e-04 6.028e-03 -1.000 1.367e-02 6.696 9.860 8.550 7.387 6.609 6.035 5.242 4.596 4.496
0.01471 0.00000 9.84510 0.7248414159 2.3892738819    0.725 -0.689  3.6697  4.618    1  0.000  0.541     0.00     0.00 -1 -1.48e-14      0.00 7.349e-01 2.514e-01 2.435e-03 6.613e-04 6.006e-03 -1.000 1.365e-02 6.492 9.319 8.155 7.066 6.346 5.823 5.082 4.480 4.391
0.01471 0.00000 9.84510 0.7500000000 2.3998889923    0.750 -0.608  3.6840  4.609    1  0.000  0.537     0.00     0.00 -1 -1.77e-14      0.00 7.361e-01 2.504e-01 2.409e-03 6.584e-04 5.984e-03 -1.000 1.355e-02 6.291 8.792 7.785 6.764 6.102 5.614 4.925 4.372 4.289
0.01471 0.00000 9.84510 0.7543006539 2.4016222954    0.754 -0.595  3.6860  4.606    1  0.000  0.537     0.00     0.00 -1 -1.83e-14      0.00 7.364e-01 2.501e-01 2.407e-03 6.578e-04 5.978e-03 -1.000 1.354e-02 6.257 8.719 7.730 6.719 6.064 5.581 4.898 4.351 4.269
0.01471 0.00000 9.84510 0.7846656442 2.4132411480    0.784 -0.502  3.6997  4.586    1  0.000  0.537     0.00     0.00 -1 -2.27e-14      0.00 7.384e-01 2.482e-01 2.391e-03 6.535e-04 5.940e-03 -1.000 1.348e-02 6.026 8.199 7.356 6.406 5.803 5.349 4.713 4.206 4.132
0.01471 0.00000 9.84510 0.8000000119 2.4187245369    0.800 -0.456  3.7065  4.575    1  0.000  0.537     0.00     0.00 -1 -2.53e-14      0.00 7.394e-01 2.472e-01 2.383e-03 6.514e-04 5.921e-03 -1.000 1.342e-02 5.910 7.952 7.179 6.256 5.676 5.235 4.621 4.135 4.063
0.01471 0.00000 9.84510 0.8253658414 2.4272830486    0.825 -0.380  3.7172  4.555    1  0.000  0.537     0.00     0.00 -1 -3.04e-14      0.00 7.413e-01 2.453e-01 2.367e-03 6.472e-04 5.883e-03 -1.000 1.337e-02 5.719 7.559 6.894 6.015 5.469 5.048 4.469 4.013 3.945
0.01471 0.00000 9.84510 0.8490858674 2.4347562790    0.848 -0.309  3.7268  4.535    1  0.000  0.536     0.00     0.00 -1 -3.61e-14      0.00 7.432e-01 2.435e-01 2.352e-03 6.432e-04 5.848e-03 -1.000 1.332e-02 5.542 7.212 6.642 5.799 5.282 4.876 4.327 3.897 3.833
