# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Dec 10 23:55:02 CET 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.4, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.017873 0.09000 9.39794 0.9470555782 2.4611163139    0.947 -0.198  3.7421  4.533    1 5.266 7.181 6.649 5.770 5.234 4.791 4.197 3.777 3.697
0.017873 0.09000 9.39794 0.9769814610 2.4679663181    0.977 -0.127  3.7509  4.511    1 5.089 6.849 6.410 5.567 5.057 4.629 4.059 3.659 3.584
0.017873 0.09000 9.39794 0.9963194728 2.4721417427    0.996 -0.082  3.7564  4.496    1 4.975 6.648 6.261 5.441 4.945 4.525 3.971 3.583 3.511
0.017873 0.09000 9.39794 1.0065275431 2.4742717743    1.006 -0.058  3.7591  4.488    1 4.916 6.546 6.184 5.375 4.887 4.471 3.923 3.541 3.471
0.017873 0.09000 9.39794 1.0331630707 2.4796020985    1.033  0.003  3.7660  4.465    1 4.762 6.294 5.987 5.207 4.736 4.331 3.802 3.435 3.368
0.017873 0.09000 9.39794 1.0455833673 2.4819812775    1.045  0.032  3.7691  4.454    1 4.691 6.179 5.896 5.129 4.667 4.267 3.746 3.386 3.320
0.017873 0.09000 9.39794 1.0587781668 2.4844384193    1.058  0.062  3.7722  4.442    1 4.616 6.062 5.802 5.048 4.594 4.199 3.687 3.333 3.269
0.017873 0.09000 9.39794 1.0837633610 2.4889035225    1.083  0.118  3.7779  4.418    1 4.475 5.847 5.625 4.897 4.458 4.072 3.574 3.233 3.171
0.017873 0.09000 9.39794 1.0948473215 2.4908092022    1.094  0.143  3.7803  4.407    1 4.412 5.754 5.549 4.831 4.397 4.016 3.524 3.188 3.128
0.017873 0.09000 9.39794 1.1112701893 2.4935529232    1.110  0.179  3.7837  4.391    1 4.321 5.625 5.439 4.736 4.310 3.933 3.450 3.121 3.062
0.017873 0.09000 9.39794 1.1343898773 2.4972610474    1.134  0.230  3.7882  4.367    1 4.194 5.449 5.286 4.603 4.188 3.818 3.346 3.026 2.969
0.017873 0.09000 9.39794 1.1441111565 2.4987688065    1.143  0.252  3.7901  4.357    1 4.141 5.377 5.223 4.547 4.137 3.770 3.303 2.986 2.930
0.017873 0.09000 9.39794 1.1588149071 2.5009942055    1.158  0.283  3.7928  4.341    1 4.061 5.271 5.129 4.465 4.060 3.698 3.237 2.926 2.871
0.017873 0.09000 9.39794 1.1813272238 2.5042781830    1.181  0.331  3.7966  4.317    1 3.942 5.115 4.988 4.341 3.945 3.589 3.137 2.834 2.780
0.017873 0.09000 9.39794 1.1933751106 2.5059773922    1.193  0.356  3.7985  4.304    1 3.879 5.035 4.915 4.276 3.885 3.532 3.084 2.785 2.732
0.017873 0.09000 9.39794 1.2147519588 2.5088970661    1.214  0.399  3.8013  4.280    1 3.772 4.905 4.794 4.167 3.782 3.433 2.992 2.699 2.646
0.017873 0.09000 9.39794 1.2426390648 2.5125327110    1.242  0.453  3.8041  4.248    1 3.639 4.749 4.645 4.030 3.652 3.309 2.874 2.586 2.535
0.017873 0.09000 9.39794 1.2907314301 2.5183801651    1.291  0.537  3.8071  4.192    1 3.427 4.515 4.416 3.815 3.445 3.106 2.679 2.397 2.347
0.017873 0.09000 9.39794 1.2919027805 2.5185163021    1.292  0.539  3.8072  4.191    1 3.422 4.509 4.411 3.810 3.440 3.101 2.674 2.393 2.342
0.017873 0.09000 9.39794 1.2948008776 2.5188519955    1.295  0.544  3.8073  4.187    1 3.410 4.497 4.398 3.798 3.427 3.089 2.662 2.381 2.330
0.017873 0.09000 9.39794 1.3350946903 2.5233466625    1.335  0.612  3.8074  4.133    1 3.241 4.328 4.226 3.628 3.258 2.920 2.494 2.213 2.163
0.017873 0.09000 9.39794 1.3411667347 2.5239973068    1.341  0.622  3.8073  4.125    1 3.216 4.304 4.201 3.603 3.233 2.895 2.468 2.188 2.137
0.017873 0.09000 9.39794 1.3414438963 2.5240268707    1.341  0.622  3.8073  4.125    1 3.214 4.303 4.199 3.601 3.232 2.894 2.467 2.187 2.136
0.017873 0.09000 9.39794 1.3879441023 2.5287895203    1.388  0.700  3.8062  4.057    1 3.019 4.119 4.007 3.405 3.034 2.695 2.265 1.984 1.932
0.017873 0.09000 9.39794 1.3904305696 2.5290338993    1.390  0.705  3.8061  4.053    1 3.009 4.109 3.997 3.395 3.024 2.685 2.254 1.973 1.921
0.017873 0.09000 9.39794 1.4215986729 2.5320141315    1.422  0.757  3.8050  4.006    1 2.877 3.988 3.869 3.264 2.891 2.550 2.117 1.834 1.782
0.017873 0.09000 9.39794 1.4396945238 2.5336763859    1.440  0.787  3.8040  3.977    1 2.802 3.922 3.798 3.189 2.814 2.472 2.037 1.752 1.699
0.017873 0.09000 9.39794 1.4526562691 2.5348377228    1.453  0.809  3.8028  3.955    1 2.748 3.878 3.748 3.136 2.758 2.415 1.977 1.690 1.636
0.017873 0.09000 9.39794 1.4858564138 2.5377066135    1.486  0.863  3.7988  3.894    1 2.613 3.778 3.632 3.003 2.617 2.267 1.820 1.525 1.470
0.017873 0.09000 9.39794 1.4889584780 2.5379672050    1.489  0.868  3.7983  3.888    1 2.600 3.770 3.621 2.991 2.604 2.254 1.805 1.510 1.455
0.017873 0.09000 9.39794 1.4962378740 2.5385737419    1.496  0.879  3.7968  3.874    1 2.574 3.757 3.603 2.966 2.576 2.223 1.771 1.472 1.417
0.017873 0.09000 9.39794 1.5149750710 2.5401041508    1.515  0.905  3.7925  3.835    1 2.508 3.731 3.559 2.904 2.505 2.145 1.682 1.376 1.318
0.017873 0.09000 9.39794 1.5328402519 2.5415234566    1.533  0.929  3.7877  3.797    1 2.447 3.716 3.524 2.849 2.439 2.072 1.597 1.281 1.222
0.017873 0.09000 9.39794 1.5382223129 2.5419435501    1.538  0.937  3.7863  3.785    1 2.427 3.710 3.511 2.830 2.418 2.048 1.570 1.251 1.191
0.017873 0.09000 9.39794 1.5489099026 2.5427680016    1.549  0.953  3.7832  3.760    1 2.387 3.701 3.488 2.794 2.375 2.000 1.515 1.189 1.128
0.017873 0.09000 9.39794 1.5565330982 2.5433478355    1.556  0.970  3.7820  3.740    1 2.346 3.672 3.454 2.755 2.333 1.956 1.467 1.140 1.078
0.017873 0.09000 9.39794 1.5596454144 2.5435829163    1.559  0.990  3.7841  3.730    1 2.296 3.602 3.392 2.702 2.285 1.912 1.428 1.105 1.043
0.017873 0.09000 9.39794 1.5637203455 2.5438888073    1.563  1.030  3.7895  3.712    1 2.194 3.448 3.258 2.592 2.187 1.824 1.353 1.042 0.983
0.017873 0.09000 9.39794 1.5646768808 2.5439603329    1.564  1.063  3.7948  3.700    1 2.112 3.320 3.145 2.503 2.110 1.756 1.298 0.998 0.941
0.017873 0.09000 9.39794 1.5650554895 2.5439887047    1.565  1.098  3.8001  3.687    1 2.025 3.187 3.028 2.409 2.029 1.683 1.239 0.950 0.894
0.017873 0.09000 9.39794 1.5652475357 2.5440030098    1.565  1.129  3.8045  3.674    1 1.948 3.078 2.927 2.327 1.957 1.619 1.185 0.905 0.851
0.017873 0.09000 9.39794 1.5653136969 2.5440080166    1.565  1.141  3.8062  3.669    1 1.919 3.036 2.888 2.296 1.930 1.594 1.164 0.888 0.834
0.017873 0.09000 9.39794 1.5653949976 2.5440139771    1.565  1.107  3.8026  3.688    2 2.002 3.146 2.992 2.384 2.009 1.667 1.229 0.945 0.890
0.017873 0.09000 9.39794 1.5654798746 2.5440204144    1.565  1.086  3.7969  3.686    2 2.056 3.246 3.077 2.444 2.056 1.705 1.253 0.957 0.900
0.017873 0.09000 9.39794 1.5656497478 2.5440330505    1.565  1.085  3.7875  3.650    2 2.059 3.334 3.132 2.458 2.050 1.683 1.208 0.893 0.833
0.017873 0.09000 9.39794 1.5659672022 2.5440568924    1.566  1.088  3.7771  3.605    2 2.050 3.431 3.184 2.465 2.033 1.649 1.147 0.809 0.745
0.017873 0.09000 9.39794 1.5665198565 2.5440979004    1.566  1.075  3.7663  3.575    2 2.082 3.586 3.284 2.519 2.061 1.659 1.127 0.765 0.696
0.017873 0.09000 9.39794 1.5671721697 2.5441465378    1.567  1.051  3.7568  3.561    2 2.142 3.761 3.405 2.600 2.120 1.701 1.144 0.759 0.687
0.017873 0.09000 9.39794 1.5677293539 2.5441880226    1.567  1.026  3.7493  3.557    2 2.206 3.923 3.518 2.682 2.185 1.753 1.175 0.771 0.696
0.017873 0.09000 9.39794 1.5682846308 2.5442295074    1.568  0.997  3.7417  3.556    2 2.279 4.104 3.642 2.777 2.260 1.817 1.215 0.792 0.714
0.017873 0.09000 9.39794 1.5688382387 2.5442705154    1.569  0.967  3.7340  3.554    2 2.352 4.287 3.769 2.874 2.339 1.883 1.258 0.814 0.734
0.017873 0.09000 9.39794 1.5694818497 2.5443184376    1.569  0.941  3.7251  3.545    2 2.417 4.485 3.898 2.969 2.413 1.942 1.289 0.821 0.738
0.017873 0.09000 9.39794 1.5703059435 2.5443794727    1.570  0.939  3.7148  3.506    2 2.422 4.652 3.980 3.013 2.431 1.943 1.256 0.760 0.673
0.017873 0.09000 9.39794 1.5710350275 2.5444335938    1.571  0.968  3.7075  3.448    2 2.349 4.705 3.967 2.970 2.369 1.868 1.156 0.639 0.549
0.017873 0.09000 9.39794 1.5715856552 2.5444743633    1.571  1.011  3.7034  3.388    3 2.242 4.671 3.896 2.880 2.269 1.760 1.033 0.506 0.414
0.017873 0.09000 9.39794 1.5720436573 2.5445082188    1.572  1.051  3.7003  3.337    3 2.142 4.624 3.822 2.793 2.174 1.659 0.923 0.387 0.293
0.017873 0.09000 9.39794 1.5725005865 2.5445420742    1.572  1.095  3.6977  3.282    3 2.033 4.566 3.738 2.697 2.071 1.551 0.805 0.261 0.166
0.017873 0.09000 9.39794 1.5729566813 2.5445756912    1.573  1.140  3.6952  3.227    3 1.919 4.500 3.648 2.595 1.962 1.437 0.682 0.131 0.035
0.017873 0.09000 9.39794 1.5734119415 2.5446093082    1.573  1.187  3.6927  3.170    3 1.802 4.429 3.554 2.489 1.850 1.320 0.556 -0.002 -0.099
0.017873 0.09000 9.39794 1.5738662481 2.5446426868    1.574  1.235  3.6903  3.113    3 1.683 4.357 3.458 2.381 1.736 1.202 0.429 -0.136 -0.234
0.017873 0.09000 9.39794 1.5744100809 2.5446829796    1.574  1.292  3.6873  3.044    3 1.540 4.273 3.345 2.254 1.601 1.060 0.276 -0.297 -0.397
0.017873 0.09000 9.39794 1.5749528408 2.5447227955    1.575  1.348  3.6844  2.976    3 1.400 4.190 3.234 2.129 1.467 0.921 0.126 -0.456 -0.557
0.017873 0.09000 9.39794 1.5754066706 2.5447561741    1.575  1.395  3.6819  2.920    3 1.283 4.122 3.142 2.026 1.357 0.806 0.002 -0.587 -0.690
0.017873 0.09000 9.39794 1.5759016275 2.5447926521    1.576  1.446  3.6792  2.858    3 1.155 4.050 3.042 1.913 1.237 0.679 -0.135 -0.732 -0.836
0.017873 0.09000 9.39794 1.5763220787 2.5448236465    1.576  1.490  3.6767  2.804    3 1.045 3.991 2.957 1.817 1.134 0.571 -0.253 -0.857 -0.963
0.017873 0.09000 9.39794 1.5766892433 2.5448505878    1.576  1.529  3.6745  2.756    3 0.947 3.940 2.883 1.732 1.042 0.475 -0.357 -0.968 -1.076
0.017873 0.09000 9.39794 1.5771003962 2.5448808670    1.577  1.574  3.6719  2.701    3 0.835 3.883 2.798 1.636 0.938 0.365 -0.477 -1.096 -1.204
0.017873 0.09000 9.39794 1.5774646997 2.5449075699    1.577  1.614  3.6694  2.652    3 0.735 3.834 2.723 1.549 0.845 0.267 -0.585 -1.211 -1.321
0.017873 0.09000 9.39794 1.5778585672 2.5449364185    1.577  1.659  3.6667  2.596    3 0.623 3.782 2.642 1.455 0.743 0.158 -0.704 -1.338 -1.451
0.017873 0.09000 9.39794 1.5782315731 2.5449638367    1.578  1.702  3.6640  2.542    3 0.514 3.732 2.563 1.364 0.643 0.052 -0.820 -1.463 -1.577
0.017873 0.09000 9.39794 1.5785930157 2.5449903011    1.578  1.745  3.6613  2.488    3 0.407 3.688 2.487 1.274 0.545 -0.052 -0.935 -1.586 -1.703
0.017873 0.09000 9.39794 1.5789332390 2.5450150967    1.579  1.784  3.6588  2.440    3 0.311 3.662 2.424 1.194 0.457 -0.146 -1.039 -1.697 -1.815
0.017873 0.09000 9.39794 1.5793192387 2.5450434685    1.579  1.820  3.6565  2.394    3 0.220 3.640 2.365 1.120 0.374 -0.235 -1.137 -1.802 -1.921
0.017873 0.09000 9.39794 1.5798548460 2.5450825691    1.579  1.856  3.6542  2.350    3 0.131 3.617 2.308 1.048 0.293 -0.322 -1.232 -1.904 -2.025
0.017873 0.09000 9.39794 1.5801064968 2.5451009274    1.580  1.838  3.6555  2.373    3 0.176 3.625 2.335 1.083 0.333 -0.278 -1.184 -1.852 -1.972
0.017873 0.09000 9.39794 1.5803723335 2.5451204777    1.580  1.808  3.6575  2.411    3 0.250 3.640 2.381 1.143 0.400 -0.206 -1.104 -1.765 -1.884
0.017873 0.09000 9.39794 1.5805479288 2.5451331139    1.580  1.770  3.6601  2.459    3 0.344 3.659 2.440 1.218 0.485 -0.114 -1.002 -1.656 -1.773
0.017873 0.09000 9.39794 1.5806972980 2.5451440811    1.580  1.730  3.6628  2.510    3 0.446 3.689 2.507 1.302 0.579 -0.015 -0.892 -1.538 -1.653
0.017873 0.09000 9.39794 1.5808606148 2.5451560020    1.580  1.682  3.6660  2.570    3 0.564 3.738 2.591 1.401 0.686 0.100 -0.765 -1.401 -1.514
0.017873 0.09000 9.39794 1.5809940100 2.5451657772    1.581  1.644  3.6685  2.618    3 0.659 3.779 2.658 1.479 0.773 0.192 -0.663 -1.292 -1.403
0.017873 0.09000 9.39794 1.5811619759 2.5451779366    1.581  1.602  3.6712  2.672    3 0.766 3.826 2.735 1.569 0.871 0.296 -0.548 -1.169 -1.278
0.017873 0.09000 9.39794 1.5813165903 2.5451893806    1.581  1.571  3.6732  2.710    3 0.841 3.860 2.790 1.633 0.941 0.370 -0.467 -1.081 -1.189
0.017873 0.09000 9.39794 1.5814833641 2.5452015400    1.581  1.591  3.6720  2.686    3 0.793 3.836 2.754 1.591 0.895 0.323 -0.519 -1.137 -1.246
0.017873 0.09000 9.39794 1.5818752050 2.5452301502    1.581  1.635  3.6693  2.631    3 0.683 3.785 2.673 1.498 0.794 0.216 -0.637 -1.263 -1.374
0.017873 0.09000 9.39794 1.5823642015 2.5452656746    1.582  1.680  3.6665  2.576    3 0.571 3.733 2.591 1.403 0.691 0.106 -0.757 -1.392 -1.504
0.017873 0.09000 9.39794 1.5828522444 2.5453011990    1.582  1.723  3.6638  2.522    3 0.463 3.684 2.513 1.313 0.592 0.001 -0.872 -1.515 -1.630
0.017873 0.09000 9.39794 1.5833723545 2.5453391075    1.583  1.769  3.6609  2.464    3 0.348 3.644 2.434 1.217 0.487 -0.111 -0.996 -1.647 -1.764
0.017873 0.09000 9.39794 1.5838524103 2.5453739166    1.583  1.812  3.6581  2.410    3 0.241 3.617 2.365 1.129 0.389 -0.216 -1.112 -1.771 -1.890
0.017873 0.09000 9.39794 1.5843290091 2.5454087257    1.584  1.855  3.6553  2.355    3 0.131 3.590 2.295 1.040 0.289 -0.323 -1.230 -1.897 -2.018
0.017873 0.09000 9.39794 1.5847786665 2.5454413891    1.584  1.898  3.6525  2.302    3 0.025 3.566 2.227 0.955 0.193 -0.426 -1.344 -2.020 -2.142
0.017873 0.09000 9.39794 1.5852152109 2.5454728603    1.585  1.941  3.6496  2.247    3 -0.082 3.544 2.160 0.868 0.096 -0.530 -1.460 -2.144 -2.268
0.017873 0.09000 9.39794 1.5856368542 2.5455036163    1.585  1.985  3.6466  2.192    3 -0.191 3.525 2.094 0.783 -0.001 -0.636 -1.577 -2.270 -2.396
0.017873 0.09000 9.39794 1.5860214233 2.5455315113    1.586  2.026  3.6437  2.139    3 -0.296 3.509 2.032 0.701 -0.094 -0.736 -1.690 -2.391 -2.520
0.017873 0.09000 9.39794 1.5863864422 2.5455579758    1.586  2.069  3.6408  2.085    3 -0.401 3.493 1.970 0.620 -0.187 -0.838 -1.803 -2.512 -2.644
0.017873 0.09000 9.39794 1.5867314339 2.5455827713    1.586  2.111  3.6378  2.031    3 -0.507 3.481 1.911 0.541 -0.278 -0.938 -1.916 -2.635 -2.768
0.017873 0.09000 9.39794 1.5870541334 2.5456061363    1.587  2.152  3.6349  1.978    3 -0.611 3.459 1.852 0.461 -0.367 -1.038 -2.027 -2.753 -2.890
0.017873 0.09000 9.39794 1.5873558521 2.5456280708    1.587  2.194  3.6319  1.924    3 -0.715 3.421 1.793 0.379 -0.456 -1.135 -2.137 -2.866 -3.009
0.017873 0.09000 9.39794 1.5874862671 2.5456373692    1.587  2.213  3.6305  1.900    3 -0.763 3.403 1.766 0.342 -0.497 -1.179 -2.187 -2.918 -3.063
0.017873 0.09000 9.39794 1.5876359940 2.5456483364    1.587  2.235  3.6290  1.872    3 -0.816 3.382 1.736 0.301 -0.542 -1.229 -2.244 -2.977 -3.125
0.017873 0.09000 9.39794 1.5879038572 2.5456676483    1.588  2.275  3.6260  1.819    3 -0.919 3.341 1.678 0.223 -0.626 -1.323 -2.352 -3.089 -3.242
0.017873 0.09000 9.39794 1.5881522894 2.5456855297    1.588  2.316  3.6230  1.767    3 -1.020 3.300 1.622 0.147 -0.710 -1.416 -2.458 -3.200 -3.358
0.017873 0.09000 9.39794 1.5883862972 2.5457024574    1.588  2.357  3.6200  1.714    3 -1.122 3.254 1.562 0.069 -0.794 -1.510 -2.565 -3.311 -3.475
0.017873 0.09000 9.39794 1.5886008739 2.5457179546    1.588  2.396  3.6170  1.662    3 -1.221 3.210 1.507 -0.003 -0.873 -1.600 -2.669 -3.420 -3.590
0.017873 0.09000 9.39794 1.5888049603 2.5457327366    1.588  2.437  3.6139  1.610    3 -1.322 3.164 1.450 -0.076 -0.953 -1.691 -2.775 -3.530 -3.707
0.017873 0.09000 9.39794 1.5889904499 2.5457460880    1.589  2.476  3.6110  1.559    3 -1.419 3.119 1.394 -0.147 -1.031 -1.779 -2.877 -3.637 -3.820
0.017873 0.09000 9.39794 1.5891674757 2.5457589626    1.589  2.515  3.6078  1.507    3 -1.518 3.072 1.341 -0.215 -1.107 -1.867 -2.981 -3.746 -3.936
0.017873 0.09000 9.39794 1.5893340111 2.5457708836    1.589  2.555  3.6047  1.455    3 -1.617 3.063 1.295 -0.277 -1.181 -1.957 -3.087 -3.860 -4.055
0.017873 0.09000 9.39794 1.5894829035 2.5457816124    1.589  2.593  3.6017  1.405    3 -1.711 3.064 1.254 -0.334 -1.252 -2.044 -3.189 -3.969 -4.169
0.017873 0.09000 9.39794 1.5896269083 2.5457921028    1.589  2.631  3.5985  1.354    3 -1.808 3.063 1.214 -0.389 -1.321 -2.132 -3.293 -4.082 -4.287
