# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Oct 21 22:43:44 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.1, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.87506 0.0900000036 1.0816895962    0.090 -3.422  3.3633  5.219    1 13.324 23.806 19.196 17.445 14.916 13.394
0.01471 0.00000 9.87506 0.1000000015 1.1711064577    0.100 -3.238  3.3895  5.186    1 12.865 23.282 18.714 16.976 14.454 12.935
0.01471 0.00000 9.87506 0.1200000048 1.3193155527    0.120 -2.971  3.4248  5.140    1 12.199 22.091 17.751 16.055 13.645 12.219
0.01471 0.00000 9.87506 0.1400000006 1.4384527206    0.140 -2.789  3.4447  5.103    1 11.742 20.548 16.622 15.009 12.855 11.638
0.01471 0.00000 9.87506 0.1599999964 1.5372931957    0.160 -2.647  3.4582  5.074    1 11.389 19.520 15.841 14.264 12.301 11.213
0.01471 0.00000 9.87506 0.2000000030 1.6938791275    0.200 -2.429  3.4770  5.028    1 10.843 18.162 14.769 13.236 11.527 10.587
0.01471 0.00000 9.87506 0.2500000000 1.8403258324    0.250 -2.219  3.4933  4.980    1 10.318 17.035 13.837 12.322 10.834 10.010
0.01471 0.00000 9.87506 0.3000000119 1.9529139996    0.300 -2.056  3.5038  4.938    1 9.909 16.296 13.205 11.718 10.341 9.575
0.01471 0.00000 9.87506 0.3500000238 2.0434176922    0.350 -1.905  3.5124  4.889    1 9.533 15.674 12.660 11.198 9.904 9.182
0.01471 0.00000 9.87506 0.4000000358 2.1185026169    0.400 -1.761  3.5235  4.847    1 9.172 15.051 12.106 10.668 9.473 8.805
0.01471 0.00000 9.87506 0.4500000179 2.1822810173    0.450 -1.611  3.5358  4.797    1 8.797 14.434 11.540 10.128 9.031 8.417
0.01471 0.00000 9.87506 0.5000000000 2.2374541759    0.500 -1.453  3.5511  4.746    1 8.402 13.798 10.933 9.546 8.562 8.012
0.01471 0.00000 9.87506 0.5250934958 2.2619073391    0.525 -1.364  3.5613  4.719    1 8.179 13.442 10.579 9.200 8.294 7.787
0.01471 0.00000 9.87506 0.5500000119 2.2836582661    0.550 -1.279  3.5710  4.693    1 7.968 13.113 10.246 8.873 8.042 7.575
0.01471 0.00000 9.87506 0.5713286996 2.3005619049    0.571 -1.204  3.5818  4.678    1 7.780 12.806 9.933 8.567 7.813 7.390
0.01471 0.00000 9.87506 0.6000000238 2.3211214542    0.600 -1.108  3.5956  4.658    1 7.539 12.423 9.539 8.195 7.527 7.156
0.01471 0.00000 9.87506 0.6435074210 2.3483324051    0.643 -0.955  3.6217  4.641    1 7.159 11.773 8.876 7.601 7.076 6.788
0.01471 0.00000 9.87506 0.6499999762 2.3520355225    0.650 -0.934  3.6255  4.638    1 7.104 11.672 8.777 7.517 7.012 6.736
0.01471 0.00000 9.87506 0.7000000477 2.3779268265    0.700 -0.765  3.6558  4.623    1 6.682 10.693 7.989 6.880 6.526 6.333
0.01471 0.00000 9.87506 0.7089517117 2.3821210861    0.709 -0.735  3.6611  4.620    1 6.608 10.490 7.850 6.775 6.441 6.261
0.01471 0.00000 9.87506 0.7390447855 2.3953688145    0.739 -0.637  3.6786  4.610    1 6.361 9.825 7.411 6.452 6.169 6.021
0.01471 0.00000 9.87506 0.7500000000 2.3998889923    0.750 -0.601  3.6848  4.605    1 6.273 9.603 7.264 6.342 6.075 5.936
0.01471 0.00000 9.87506 0.7698094845 2.4076881409    0.770 -0.540  3.6939  4.592    1 6.119 9.253 7.026 6.161 5.914 5.790
0.01471 0.00000 9.87506 0.7954584360 2.4171259403    0.795 -0.461  3.7055  4.573    1 5.922 8.814 6.733 5.935 5.712 5.604
0.01471 0.00000 9.87506 0.8000000119 2.4187245369    0.800 -0.447  3.7075  4.570    1 5.887 8.739 6.683 5.896 5.676 5.572
0.01471 0.00000 9.87506 0.8103638291 2.4222958088    0.810 -0.415  3.7119  4.562    1 5.808 8.572 6.570 5.807 5.596 5.497
0.01471 0.00000 9.87506 0.8336469531 2.4299476147    0.833 -0.344  3.7216  4.541    1 5.630 8.207 6.325 5.611 5.417 5.332
0.01471 0.00000 9.87506 0.8500000238 2.4350347519    0.850 -0.294  3.7282  4.526    1 5.505 7.964 6.160 5.477 5.293 5.216
0.01471 0.00000 9.87506 0.8532322049 2.4360136986    0.853 -0.284  3.7295  4.523    1 5.481 7.918 6.128 5.451 5.269 5.193
0.01471 0.00000 9.87506 0.8748574853 2.4423501492    0.874 -0.218  3.7375  4.499    1 5.314 7.612 5.913 5.275 5.107 5.042
0.01471 0.00000 9.87506 0.8951841593 2.4479863644    0.895 -0.155  3.7447  4.475    1 5.158 7.324 5.716 5.113 4.956 4.901
0.01471 0.00000 9.87506 0.8999999762 2.4492788315    0.899 -0.140  3.7463  4.469    1 5.121 7.256 5.669 5.075 4.921 4.868
0.01471 0.00000 9.87506 0.9020283818 2.4498183727    0.901 -0.134  3.7470  4.467    1 5.105 7.228 5.650 5.059 4.906 4.853
0.01471 0.00000 9.87506 0.9142984748 2.4530241489    0.914 -0.095  3.7509  4.450    1 5.009 7.062 5.534 4.961 4.815 4.766
0.01471 0.00000 9.87506 0.9261655211 2.4560317993    0.926 -0.058  3.7545  4.432    1 4.915 6.910 5.423 4.867 4.726 4.682
0.01471 0.00000 9.87506 0.9479784369 2.4613349438    0.947  0.011  3.7606  4.398    1 4.742 6.639 5.220 4.693 4.561 4.524
0.01471 0.00000 9.87506 0.9499999881 2.4618122578    0.950  0.018  3.7612  4.394    1 4.725 6.614 5.201 4.676 4.546 4.510
0.01471 0.00000 9.87506 0.9584422112 2.4637806416    0.958  0.045  3.7633  4.379    1 4.656 6.515 5.122 4.607 4.480 4.447
0.01471 0.00000 9.87506 0.9771324992 2.4679996967    0.977  0.107  3.7675  4.343    1 4.503 6.301 4.949 4.454 4.334 4.306
0.01471 0.00000 9.87506 0.9948655367 2.4718344212    0.995  0.164  3.7707  4.307    1 4.360 6.116 4.792 4.312 4.197 4.172
0.01471 0.00000 9.87506 1.0000000000 2.4729156494    1.000  0.181  3.7714  4.295    1 4.319 6.064 4.747 4.271 4.157 4.133
0.01471 0.00000 9.87506 1.0121659040 2.4754271507    1.012  0.221  3.7729  4.266    1 4.217 5.943 4.639 4.170 4.059 4.037
0.01471 0.00000 9.87506 1.0245145559 2.4779062271    1.024  0.265  3.7744  4.233    1 4.106 5.814 4.521 4.060 3.951 3.931
0.01471 0.00000 9.87506 1.0339014530 2.4797453880    1.034  0.301  3.7750  4.204    1 4.019 5.719 4.430 3.972 3.865 3.845
0.01471 0.00000 9.87506 1.0430157185 2.4814946651    1.043  0.336  3.7751  4.173    1 3.931 5.629 4.341 3.884 3.777 3.758
0.01471 0.00000 9.87506 1.0499999523 2.4828116894    1.050  0.364  3.7748  4.146    1 3.861 5.564 4.273 3.815 3.707 3.687
0.01471 0.00000 9.87506 1.0517861843 2.4831452370    1.051  0.371  3.7746  4.140    1 3.843 5.547 4.255 3.797 3.689 3.669
0.01471 0.00000 9.87506 1.0615960360 2.4849541187    1.061  0.411  3.7734  4.098    1 3.742 5.461 4.159 3.696 3.586 3.564
0.01471 0.00000 9.87506 1.0700304508 2.4864790440    1.069  0.447  3.7704  4.054    2 3.652 5.406 4.081 3.606 3.491 3.466
0.01471 0.00000 9.87506 1.0776551962 2.4878337383    1.077  0.478  3.7654  4.006    2 3.575 5.390 4.025 3.529 3.407 3.376
0.01471 0.00000 9.87506 1.0845797062 2.4890453815    1.084  0.499  3.7567  3.952    2 3.522 5.453 4.011 3.478 3.342 3.300
0.01471 0.00000 9.87506 1.0888934135 2.4897911549    1.088  0.503  3.7470  3.912    2 3.513 5.586 4.049 3.474 3.322 3.269
0.01471 0.00000 9.87506 1.0915292501 2.4902434349    1.091  0.497  3.7377  3.881    2 3.527 5.741 4.110 3.496 3.331 3.266
0.01471 0.00000 9.87506 1.0933815241 2.4905598164    1.093  0.489  3.7290  3.855    2 3.547 5.892 4.178 3.527 3.348 3.272
0.01471 0.00000 9.87506 1.0951405764 2.4908590317    1.094  0.486  3.7199  3.823    2 3.554 6.047 4.239 3.549 3.355 3.266
0.01471 0.00000 9.87506 1.0972537994 2.4912171364    1.096  0.499  3.7101  3.771    2 3.522 6.184 4.270 3.536 3.326 3.223
0.01471 0.00000 9.87506 1.0991312265 2.4915339947    1.098  0.528  3.7031  3.715    2 3.449 6.235 4.246 3.479 3.257 3.143
0.01471 0.00000 9.87506 1.0996586084 2.4916229248    1.099  0.539  3.7015  3.697    2 3.421 6.235 4.230 3.456 3.230 3.114
0.01471 0.00000 9.87506 1.1000000238 2.4916803837    1.099  0.549  3.7007  3.685    2 3.398 6.225 4.212 3.434 3.207 3.090
0.01471 0.00000 9.87506 1.1001741886 2.4917094707    1.100  0.553  3.7003  3.679    2 3.386 6.219 4.203 3.423 3.195 3.077
0.01471 0.00000 9.87506 1.1016478539 2.4919567108    1.101  0.598  3.6974  3.623    3 3.274 6.157 4.112 3.320 3.086 2.963
0.01471 0.00000 9.87506 1.1028233767 2.4921536446    1.102  0.639  3.6955  3.575    3 3.172 6.085 4.023 3.223 2.986 2.860
0.01471 0.00000 9.87506 1.1041914225 2.4923818111    1.104  0.691  3.6937  3.516    3 3.041 5.983 3.905 3.098 2.858 2.729
0.01471 0.00000 9.87506 1.1052030325 2.4925503731    1.105  0.734  3.6924  3.469    3 2.935 5.898 3.808 2.995 2.752 2.621
0.01471 0.00000 9.87506 1.1063367128 2.4927384853    1.106  0.786  3.6909  3.412    3 2.806 5.797 3.690 2.870 2.624 2.491
0.01471 0.00000 9.87506 1.1072018147 2.4928820133    1.107  0.829  3.6897  3.364    3 2.698 5.713 3.592 2.766 2.518 2.382
0.01471 0.00000 9.87506 1.1080099344 2.4930157661    1.107  0.872  3.6885  3.316    3 2.590 5.629 3.494 2.662 2.411 2.273
0.01471 0.00000 9.87506 1.1087125540 2.4931318760    1.108  0.913  3.6872  3.270    3 2.487 5.550 3.402 2.563 2.310 2.170
0.01471 0.00000 9.87506 1.1095567942 2.4932711124    1.109  0.967  3.6855  3.210    3 2.354 5.451 3.283 2.435 2.178 2.035
0.01471 0.00000 9.87506 1.1101444960 2.4933679104    1.109  1.007  3.6842  3.165    3 2.252 5.377 3.193 2.338 2.078 1.933
0.01471 0.00000 9.87506 1.1108249426 2.4934797287    1.110  1.058  3.6823  3.106    3 2.125 5.287 3.081 2.216 1.953 1.804
