angDist,_RAJ2000,_DEJ2000,FTS,WEBDA,RAJ2000,DEJ2000,u'mag,g'mag,r'mag,i'mag,z'mag,Mm,Comm,PKM,_RAJ2000,_DEJ2000,PKM,RAJ2000,DEJ2000,pmRA,pmDE,MProb,Vmag,B-V,ICode
0.330021,11.344292,85.210556,29,,00 45 22.63,+85 12 38,16.302,14.485,13.735,13.43,13.26,98,,PKM,11.3436522,85.2106305,4705,11.3436522,85.21063,-5.54,-0.57,98,13.964,0.962,
1.344905,12.083,85.224167,30,1343,00 48 19.92,+85 13 27,14.714,13.94,13.736,13.696,13.706,0,,PKM,12.0796973,85.2244199,5885,12.0796973,85.22442,0.0,0.0,0,14.132,0.276,D
1.112659,11.329917,85.257778,31,,00 45 19.18,+85 15 28,15.245,14.069,13.74,13.637,13.592,97,,PKM,11.3297923,85.2580869,4626,11.3297923,85.258087,-5.36,-0.86,97,13.886,0.499,
0.866894,11.325917,85.321944,32,,00 45 18.22,+85 19 19,15.266,14.057,13.752,13.674,13.657,92,,PKM,11.326126,85.3221842,4540,11.326126,85.322184,-4.64,-0.1,92,13.857,0.521,
0.557428,11.884417,85.183889,33,,00 47 32.26,+85 11 02,16.892,14.59,13.764,13.46,13.297,98,,PKM,11.8837451,85.1840332,5133,11.8837451,85.184033,-5.34,-0.48,98,14.077,1.094,
0.199145,11.965,85.2525,34,1003,00 47 51.60,+85 15 09,15.344,14.133,13.835,13.761,13.668,90,,PKM,11.964405,85.2525252,5020,11.964405,85.252525,-5.86,0.15,90,14.0,0.502,
0.818174,11.456208,85.234167,35,1061,00 45 49.49,+85 14 03,17.034,14.672,13.843,13.547,13.377,98,,PKM,11.4558396,85.2343922,4671,11.4558396,85.234392,-5.59,-0.47,98,14.165,1.073,
0.578934,11.36275,85.204722,36,,00 45 27.06,+85 12 17,15.739,14.34,13.85,13.695,13.669,0,,PKM,11.3620292,85.2048711,5901,11.3620292,85.204871,-2.19,-1.36,0,15.066,0.658,D
0.619324,11.612333,85.196389,37,2178,00 46 26.96,+85 11 47,16.405,14.601,13.908,13.648,,43,bd,PKM,11.6113186,85.1965386,5895,11.6113186,85.196539,-5.98,-1.45,43,15.049,0.698,D
0.424963,12.499792,85.323611,38,,00 49 59.95,+85 19 25,15.997,14.502,13.953,13.75,13.64,0,,PKM,12.4998638,85.3237289,5288,12.4998638,85.323729,-4.63,3.04,0,14.148,0.804,
0.677125,12.387708,85.254444,39,2122,00 49 33.05,+85 15 16,16.868,14.749,13.986,13.735,13.588,98,,PKM,12.3870444,85.2546239,5356,12.3870444,85.254624,-5.71,-0.39,98,14.272,1.024,
0.632424,11.765917,85.2575,40,1020,00 47 03.82,+85 15 27,16.591,14.73,14.032,13.792,13.696,0,,PKM,11.7655617,85.2576732,5008,11.7655617,85.257673,-7.08,-0.08,0,14.287,0.896,
0.670208,11.486167,85.291389,41,,00 45 56.68,+85 17 29,15.591,14.369,14.045,13.961,13.934,98,,PKM,11.4859749,85.2915745,4581,11.4859749,85.291574,-5.25,-0.39,98,14.147,0.536,
0.524357,11.329208,85.256389,42,,00 45 19.01,+85 15 23,,,14.069,14.068,13.813,14,b,PKM,11.3286974,85.2565284,4629,11.3286974,85.256528,-5.19,-1.95,14,17.155,0.907,
0.234479,12.5255,85.246667,43,4715,00 50 06.12,+85 14 48,17.21,14.893,14.073,13.787,13.626,95,,PKM,12.5248482,85.2466306,5373,12.5248482,85.246631,-5.71,0.02,95,14.381,1.079,
