# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Dec  8 07:03:41 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.2, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.84510 0.0900000036 1.0816895962    0.090 -3.422  3.3633  5.219    1  0.000  0.545     0.00     0.00 -1  -3.9e-17      0.00 7.099e-01 2.753e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 13.325 22.914 20.215 18.334 16.121 13.848 11.305 10.672 10.374
0.01471 0.00000 9.84510 0.1000000015 1.1711064577    0.100 -3.238  3.3895  5.186    1  0.000  0.545     0.00     0.00 -1 -5.87e-17      0.00 7.096e-01 2.756e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.865 22.392 19.729 17.857 15.656 13.389 10.847 10.215 9.913
0.01471 0.00000 9.84510 0.1138702929 1.2775208950    0.114 -3.048  3.4146  5.153    1  0.000  0.545     0.00     0.00 -1 -8.84e-17      0.00 7.092e-01 2.761e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.391 21.855 19.228 17.365 15.176 12.914 10.373 9.743 9.437
0.01471 0.00000 9.84510 0.1200000048 1.3193155527    0.120 -2.972  3.4247  5.140    1  0.000  0.545     0.00     0.00 -1 -1.04e-16      0.00 7.090e-01 2.762e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.199 21.218 18.738 16.904 14.814 12.618 10.200 9.568 9.260
0.01471 0.00000 9.84510 0.1400000006 1.4384527206    0.140 -2.789  3.4446  5.103    1  0.000  0.545     0.00     0.00 -1 -1.53e-16      0.00 7.085e-01 2.768e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.743 19.707 17.547 15.797 13.941 11.911 9.790 9.156 8.847
0.01471 0.00000 9.84510 0.1523680389 1.5015743971    0.152 -2.699  3.4532  5.085    1  0.000  0.545     0.00     0.00 -1 -1.85e-16      0.00 7.081e-01 2.771e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.519 19.066 17.026 15.308 13.547 11.591 9.587 8.952 8.644
0.01471 0.00000 9.84510 0.1599999964 1.5372931957    0.160 -2.648  3.4582  5.075    1  0.000  0.545     0.00     0.00 -1 -2.05e-16      0.00 7.080e-01 2.773e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.389 18.700 16.729 15.024 13.318 11.409 9.470 8.835 8.528
0.01471 0.00000 9.84510 0.2000000030 1.6938791275    0.200 -2.430  3.4769  5.029    1  0.000  0.545     0.00     0.00 -1  -3.2e-16      0.00 7.071e-01 2.781e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.845 17.368 15.612 13.965 12.443 10.699 8.971 8.333 8.035
0.01471 0.00000 9.84510 0.2500000000 1.8403258324    0.250 -2.220  3.4932  4.981    1  0.000  0.545     0.00     0.00 -1 -4.88e-16      0.00 7.064e-01 2.788e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.321 16.262 14.653 13.040 11.652 10.060 8.489 7.849 7.561
0.01471 0.00000 9.84510 0.3000000119 1.9529139996    0.300 -2.057  3.5038  4.940    1  0.000  0.545     0.00     0.00 -1 -2.32e-16      0.00 7.061e-01 2.791e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.913 15.535 14.003 12.422 11.106 9.595 8.105 7.463 7.183
0.01471 0.00000 9.84510 0.3500000238 2.0434176922    0.350 -1.906  3.5124  4.890    1  0.000  0.545     0.00     0.00 -1 -7.09e-16      0.00 7.105e-01 2.748e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.535 14.917 13.441 11.888 10.625 9.176 7.746 7.100 6.828
0.01471 0.00000 9.84510 0.4000000358 2.1185026169    0.400 -1.762  3.5234  4.847    1  0.000  0.545     0.00     0.00 -1  -1.3e-15      0.00 7.106e-01 2.746e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.174 14.302 12.873 11.347 10.143 8.772 7.413 6.759 6.497
0.01471 0.00000 9.84510 0.4500000179 2.1822810173    0.450 -1.612  3.5357  4.798    1  0.000  0.545     0.00     0.00 -1 -1.83e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.799 13.694 12.295 10.797 9.648 8.357 7.069 6.406 6.153
0.01471 0.00000 9.84510 0.5000000000 2.2374541759    0.500 -1.454  3.5510  4.747    1  0.000  0.545     0.00     0.00 -1 -2.65e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.405 13.066 11.678 10.207 9.116 7.921 6.713 6.040 5.798
0.01471 0.00000 9.84510 0.5500000119 2.2836582661    0.550 -1.281  3.5708  4.695    1  0.000  0.545     0.00     0.00 -1 -3.98e-15      0.00 7.269e-01 2.591e-01 2.515e-03 6.788e-04 6.157e-03 -1.000 1.400e-02 7.974 12.391 10.988 9.537 8.508 7.448 6.336 5.648 5.425
0.01471 0.00000 9.84510 0.6000000238 2.3211214542    0.600 -1.111  3.5953  4.660    1  0.000  0.545     0.00     0.00 -1 -5.88e-15      0.00 7.293e-01 2.568e-01 2.496e-03 6.736e-04 6.111e-03 -1.000 1.389e-02 7.547 11.709 10.276 8.860 7.891 6.990 5.974 5.267 5.078
0.01471 0.00000 9.84510 0.6499999762 2.3520355225    0.650 -0.938  3.6249  4.640    1  0.000  0.544     0.00     0.00 -1  -8.6e-15      0.00 7.316e-01 2.546e-01 2.478e-03 6.688e-04 6.068e-03 -1.000 1.381e-02 7.114 10.967 9.497 8.169 7.273 6.532 5.609 4.903 4.760
0.01471 0.00000 9.84510 0.6548643112 2.3547544479    0.655 -0.921  3.6279  4.639    1  0.000  0.544     0.00     0.00 -1 -8.92e-15      0.00 7.318e-01 2.544e-01 2.476e-03 6.683e-04 6.064e-03 -1.000 1.379e-02 7.072 10.888 9.417 8.100 7.213 6.488 5.574 4.870 4.732
