# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Dec  4 02:49:33 CET 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.5, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.87506 0.8999999762 2.4492788315    0.899 -0.140  3.7463  4.469    1 5.121 7.074 6.593 5.714 5.177 4.719 4.104 3.680 3.596
0.01471 0.00000 9.87506 0.9020283818 2.4498183727    0.901 -0.134  3.7470  4.467    1 5.105 7.046 6.573 5.696 5.161 4.705 4.091 3.668 3.586
0.01471 0.00000 9.87506 0.9142984748 2.4530241489    0.914 -0.095  3.7509  4.450    1 5.009 6.884 6.451 5.589 5.065 4.615 4.013 3.598 3.518
0.01471 0.00000 9.87506 0.9261655211 2.4560317993    0.926 -0.058  3.7545  4.432    1 4.915 6.735 6.334 5.488 4.973 4.528 3.936 3.529 3.450
0.01471 0.00000 9.87506 0.9479784369 2.4613349438    0.947  0.011  3.7606  4.398    1 4.742 6.467 6.121 5.300 4.802 4.366 3.790 3.398 3.322
0.01471 0.00000 9.87506 0.9499999881 2.4618122578    0.950  0.018  3.7612  4.394    1 4.725 6.443 6.102 5.283 4.786 4.351 3.777 3.386 3.310
0.01471 0.00000 9.87506 0.9584422112 2.4637806416    0.958  0.045  3.7633  4.379    1 4.656 6.344 6.019 5.210 4.718 4.287 3.718 3.332 3.257
0.01471 0.00000 9.87506 0.9771324992 2.4679996967    0.977  0.107  3.7675  4.343    1 4.503 6.131 5.839 5.048 4.568 4.143 3.585 3.208 3.135
0.01471 0.00000 9.87506 0.9948655367 2.4718344212    0.995  0.164  3.7707  4.307    1 4.360 5.946 5.677 4.899 4.427 4.008 3.458 3.088 3.017
0.01471 0.00000 9.87506 1.0000000000 2.4729156494    1.000  0.181  3.7714  4.295    1 4.319 5.895 5.630 4.856 4.386 3.968 3.420 3.052 2.981
0.01471 0.00000 9.87506 1.0121659040 2.4754271507    1.012  0.221  3.7729  4.266    1 4.217 5.773 5.519 4.752 4.286 3.871 3.327 2.962 2.891
0.01471 0.00000 9.87506 1.0245145559 2.4779062271    1.024  0.265  3.7744  4.233    1 4.106 5.644 5.398 4.639 4.177 3.764 3.223 2.862 2.792
0.01471 0.00000 9.87506 1.0339014530 2.4797453880    1.034  0.301  3.7750  4.204    1 4.019 5.548 5.306 4.550 4.090 3.678 3.139 2.779 2.709
0.01471 0.00000 9.87506 1.0430157185 2.4814946651    1.043  0.336  3.7751  4.173    1 3.931 5.458 5.217 4.461 4.002 3.590 3.052 2.692 2.622
0.01471 0.00000 9.87506 1.0499999523 2.4828116894    1.050  0.364  3.7748  4.146    1 3.861 5.392 5.149 4.392 3.932 3.520 2.981 2.620 2.550
0.01471 0.00000 9.87506 1.0517861843 2.4831452370    1.051  0.371  3.7746  4.140    1 3.843 5.375 5.131 4.374 3.914 3.502 2.962 2.601 2.531
0.01471 0.00000 9.87506 1.0615960360 2.4849541187    1.061  0.411  3.7734  4.098    1 3.742 5.289 5.037 4.275 3.812 3.398 2.855 2.491 2.421
0.01471 0.00000 9.87506 1.0700304508 2.4864790440    1.069  0.447  3.7704  4.054    2 3.652 5.232 4.963 4.190 3.721 3.302 2.751 2.381 2.309
0.01471 0.00000 9.87506 1.0776551962 2.4878337383    1.077  0.478  3.7654  4.006    2 3.575 5.215 4.915 4.121 3.642 3.215 2.650 2.269 2.195
0.01471 0.00000 9.87506 1.0845797062 2.4890453815    1.084  0.499  3.7567  3.952    2 3.522 5.275 4.915 4.086 3.586 3.145 2.556 2.155 2.077
0.01471 0.00000 9.87506 1.0888934135 2.4897911549    1.088  0.503  3.7470  3.912    2 3.513 5.402 4.968 4.100 3.576 3.120 2.504 2.080 1.998
0.01471 0.00000 9.87506 1.0915292501 2.4902434349    1.091  0.497  3.7377  3.881    2 3.527 5.551 5.041 4.140 3.594 3.124 2.481 2.033 1.948
0.01471 0.00000 9.87506 1.0933815241 2.4905598164    1.093  0.489  3.7290  3.855    2 3.547 5.699 5.122 4.187 3.621 3.137 2.466 1.996 1.908
0.01471 0.00000 9.87506 1.0951405764 2.4908590317    1.094  0.486  3.7199  3.823    2 3.554 5.849 5.196 4.227 3.638 3.138 2.438 1.944 1.852
0.01471 0.00000 9.87506 1.0972537994 2.4912171364    1.096  0.499  3.7101  3.771    2 3.522 5.980 5.240 4.234 3.619 3.103 2.370 1.847 1.751
0.01471 0.00000 9.87506 1.0991312265 2.4915339947    1.098  0.528  3.7031  3.715    2 3.449 6.026 5.225 4.192 3.558 3.029 2.273 1.730 1.631
0.01471 0.00000 9.87506 1.0996586084 2.4916229248    1.099  0.539  3.7015  3.697    2 3.421 6.025 5.211 4.171 3.533 3.001 2.239 1.692 1.593
0.01471 0.00000 9.87506 1.1000000238 2.4916803837    1.099  0.549  3.7007  3.685    2 3.398 6.014 5.194 4.152 3.511 2.978 2.213 1.664 1.564
0.01471 0.00000 9.87506 1.1001741886 2.4917094707    1.100  0.553  3.7003  3.679    2 3.386 6.009 5.185 4.141 3.500 2.966 2.200 1.649 1.549
0.01471 0.00000 9.87506 1.1016478539 2.4919567108    1.101  0.598  3.6974  3.623    3 3.274 5.945 5.098 4.043 3.395 2.855 2.078 1.519 1.417
0.01471 0.00000 9.87506 1.1028233767 2.4921536446    1.102  0.639  3.6955  3.575    3 3.172 5.872 5.012 3.950 3.297 2.753 1.970 1.405 1.303
0.01471 0.00000 9.87506 1.1041914225 2.4923818111    1.104  0.691  3.6937  3.516    3 3.041 5.769 4.896 3.828 3.171 2.624 1.834 1.262 1.160
0.01471 0.00000 9.87506 1.1052030325 2.4925503731    1.105  0.734  3.6924  3.469    3 2.935 5.683 4.801 3.726 3.067 2.517 1.722 1.147 1.044
0.01471 0.00000 9.87506 1.1063367128 2.4927384853    1.106  0.786  3.6909  3.412    3 2.806 5.581 4.686 3.604 2.941 2.388 1.588 1.009 0.905
0.01471 0.00000 9.87506 1.1072018147 2.4928820133    1.107  0.829  3.6897  3.364    3 2.698 5.496 4.590 3.502 2.836 2.281 1.476 0.894 0.790
0.01471 0.00000 9.87506 1.1080099344 2.4930157661    1.107  0.872  3.6885  3.316    3 2.590 5.411 4.495 3.400 2.731 2.173 1.364 0.778 0.673
0.01471 0.00000 9.87506 1.1087125540 2.4931318760    1.108  0.913  3.6872  3.270    3 2.487 5.332 4.404 3.303 2.631 2.071 1.257 0.668 0.563
0.01471 0.00000 9.87506 1.1095567942 2.4932711124    1.109  0.967  3.6855  3.210    3 2.354 5.231 4.288 3.179 2.502 1.938 1.118 0.524 0.418
