# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Dec  8 23:56:03 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.2, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.84510 0.9746462107 2.4674491882    0.974  0.075  3.7666  4.370    1  0.000  0.536     0.00     0.00 -1 -9.86e-14      0.00 7.586e-01 2.288e-01 2.230e-03 6.101e-04 5.551e-03 -1.000 1.263e-02 4.582 6.551 5.154 4.621 4.480 4.431
0.01471 0.00000 9.84510 0.9936230779 2.4715707302    0.993  0.135  3.7707  4.335    1  0.000  0.535     0.00     0.00 -1 -1.17e-13      0.00 7.619e-01 2.256e-01 2.203e-03 6.030e-04 5.488e-03 -1.000 1.248e-02 4.432 6.344 4.985 4.471 4.337 4.293
0.01471 0.00000 9.84510 1.0000000000 2.4729156494    1.000  0.155  3.7719  4.322    1  0.000  0.535     0.00     0.00 -1 -1.24e-13      0.00 7.631e-01 2.245e-01 2.194e-03 6.006e-04 5.466e-03 -1.000 1.244e-02 4.382 6.279 4.930 4.421 4.289 4.247
0.01471 0.00000 9.84510 1.0033476353 2.4736137390    1.003  0.166  3.7725  4.315    1  0.000  0.535     0.00     0.00 -1 -1.27e-13      0.00 7.638e-01 2.238e-01 2.188e-03 5.989e-04 5.451e-03 -1.000 1.241e-02 4.356 6.246 4.901 4.395 4.264 4.223
0.01471 0.00000 9.84510 1.0131305456 2.4756233692    1.012  0.196  3.7738  4.295    1  0.000  0.535     0.00     0.00 -1 -1.37e-13      0.00 7.660e-01 2.217e-01 2.171e-03 5.944e-04 5.411e-03 -1.000 1.232e-02 4.280 6.153 4.820 4.320 4.191 4.151
0.01471 0.00000 9.84510 1.0287266970 2.4787364006    1.028  0.246  3.7757  4.258    1  0.000  0.535     0.00     0.00 -1 -1.55e-13      0.00 7.687e-01 2.191e-01 2.150e-03 5.887e-04 5.360e-03 -1.000 1.221e-02 4.154 6.003 4.685 4.195 4.069 4.031
0.01471 0.00000 9.84510 1.0412349701 2.4811556339    1.040  0.290  3.7771  4.226    1  0.000  0.535     0.00     0.00 -1 -1.74e-13      0.00 7.693e-01 2.185e-01 2.146e-03 5.876e-04 5.350e-03 -1.000 1.220e-02 4.046 5.878 4.570 4.087 3.964 3.928
0.01471 0.00000 9.84510 1.0499999523 2.4828116894    1.049  0.321  3.7777  4.200    1  0.000  0.535     0.00     0.00 -1 -1.89e-13      0.00 7.692e-01 2.186e-01 2.148e-03 5.881e-04 5.354e-03 -1.000 1.219e-02 3.967 5.792 4.488 4.009 3.886 3.851
0.01471 0.00000 9.84510 1.0514956713 2.4830911160    1.050  0.327  3.7778  4.196    1  0.000  0.535     0.00     0.00 -1 -1.91e-13      0.00 7.693e-01 2.185e-01 2.147e-03 5.880e-04 5.353e-03 -1.000 1.218e-02 3.954 5.777 4.474 3.995 3.873 3.838
0.01471 0.00000 9.84510 1.0612274408 2.4848868847    1.060  0.363  3.7778  4.163    1  0.000  0.535     0.00     0.00 -1 -2.12e-13      0.00 7.694e-01 2.184e-01 2.149e-03 5.884e-04 5.358e-03 -1.000 1.221e-02 3.862 5.684 4.381 3.903 3.781 3.746
0.01471 0.00000 9.84510 1.0694681406 2.4863781929    1.068  0.395  3.7774  4.133    1  0.000  0.535     0.00     0.00 -1 -2.32e-13      0.00 7.688e-01 2.189e-01 2.156e-03 5.905e-04 5.377e-03 -1.000 1.225e-02 3.782 5.610 4.303 3.823 3.701 3.665
0.01471 0.00000 9.84510 1.0797702074 2.4882056713    1.078  0.436  3.7761  4.091    1  0.000  0.534     0.00     0.00 -1 -2.62e-13      0.00 7.671e-01 2.205e-01 2.174e-03 5.955e-04 5.423e-03 -1.000 1.238e-02 3.679 5.522 4.205 3.721 3.596 3.559
0.01471 0.00000 9.84510 1.0887638330 2.4897687435    1.087  0.473  3.7731  4.045    2  0.000  0.534     0.00     0.00 -1 -2.95e-13      0.00 7.614e-01 2.259e-01 2.225e-03 6.095e-04 5.551e-03 -1.000 1.264e-02 3.587 5.466 4.125 3.628 3.499 3.458
