# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Oct 21 22:02:03 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.87506 0.9584422112 2.4637806416    0.958  0.045  3.7633  4.379    1 4.656 6.358 5.002 4.520 4.412 4.397
0.01471 0.00000 9.87506 0.9771324992 2.4679996967    0.977  0.107  3.7675  4.343    1 4.503 6.144 4.829 4.367 4.266 4.256
0.01471 0.00000 9.87506 0.9948655367 2.4718344212    0.995  0.164  3.7707  4.307    1 4.360 5.959 4.672 4.225 4.129 4.123
0.01471 0.00000 9.87506 1.0000000000 2.4729156494    1.000  0.181  3.7714  4.295    1 4.319 5.907 4.627 4.184 4.089 4.084
0.01471 0.00000 9.87506 1.0121659040 2.4754271507    1.012  0.221  3.7729  4.266    1 4.217 5.786 4.518 4.083 3.990 3.987
0.01471 0.00000 9.87506 1.0245145559 2.4779062271    1.024  0.265  3.7744  4.233    1 4.106 5.657 4.400 3.973 3.882 3.881
0.01471 0.00000 9.87506 1.0339014530 2.4797453880    1.034  0.301  3.7750  4.204    1 4.019 5.562 4.309 3.885 3.796 3.796
0.01471 0.00000 9.87506 1.0430157185 2.4814946651    1.043  0.336  3.7751  4.173    1 3.931 5.472 4.220 3.797 3.709 3.709
0.01471 0.00000 9.87506 1.0499999523 2.4828116894    1.050  0.364  3.7748  4.146    1 3.861 5.407 4.152 3.728 3.639 3.638
0.01471 0.00000 9.87506 1.0517861843 2.4831452370    1.051  0.371  3.7746  4.140    1 3.843 5.391 4.134 3.710 3.621 3.620
0.01471 0.00000 9.87506 1.0615960360 2.4849541187    1.061  0.411  3.7734  4.098    1 3.742 5.304 4.038 3.609 3.518 3.515
0.01471 0.00000 9.87506 1.0700304508 2.4864790440    1.069  0.447  3.7704  4.054    2 3.652 5.249 3.960 3.519 3.423 3.417
0.01471 0.00000 9.87506 1.0776551962 2.4878337383    1.077  0.478  3.7654  4.006    2 3.575 5.233 3.904 3.442 3.339 3.327
0.01471 0.00000 9.87506 1.0845797062 2.4890453815    1.084  0.499  3.7567  3.952    2 3.522 5.297 3.890 3.391 3.273 3.251
0.01471 0.00000 9.87506 1.0888934135 2.4897911549    1.088  0.503  3.7470  3.912    2 3.513 5.429 3.929 3.386 3.254 3.219
0.01471 0.00000 9.87506 1.0915292501 2.4902434349    1.091  0.497  3.7377  3.881    2 3.527 5.584 3.990 3.409 3.263 3.217
0.01471 0.00000 9.87506 1.0933815241 2.4905598164    1.093  0.489  3.7290  3.855    2 3.547 5.735 4.058 3.440 3.280 3.223
0.01471 0.00000 9.87506 1.0951405764 2.4908590317    1.094  0.486  3.7199  3.823    2 3.554 5.890 4.119 3.462 3.287 3.217
0.01471 0.00000 9.87506 1.0972537994 2.4912171364    1.096  0.499  3.7101  3.771    2 3.522 6.027 4.150 3.449 3.258 3.173
0.01471 0.00000 9.87506 1.0991312265 2.4915339947    1.098  0.528  3.7031  3.715    2 3.449 6.078 4.126 3.392 3.188 3.094
0.01471 0.00000 9.87506 1.0996586084 2.4916229248    1.099  0.539  3.7015  3.697    2 3.421 6.078 4.110 3.369 3.162 3.065
0.01471 0.00000 9.87506 1.1000000238 2.4916803837    1.099  0.549  3.7007  3.685    2 3.398 6.068 4.092 3.347 3.139 3.041
0.01471 0.00000 9.87506 1.1001741886 2.4917094707    1.100  0.553  3.7003  3.679    2 3.386 6.062 4.083 3.336 3.127 3.028
0.01471 0.00000 9.87506 1.1016478539 2.4919567108    1.101  0.598  3.6974  3.623    3 3.274 6.000 3.992 3.233 3.018 2.914
0.01471 0.00000 9.87506 1.1028233767 2.4921536446    1.102  0.639  3.6955  3.575    3 3.172 5.928 3.903 3.136 2.918 2.811
0.01471 0.00000 9.87506 1.1041914225 2.4923818111    1.104  0.691  3.6937  3.516    3 3.041 5.826 3.786 3.011 2.790 2.680
0.01471 0.00000 9.87506 1.1052030325 2.4925503731    1.105  0.734  3.6924  3.469    3 2.935 5.741 3.688 2.908 2.684 2.572
0.01471 0.00000 9.87506 1.1063367128 2.4927384853    1.106  0.786  3.6909  3.412    3 2.806 5.640 3.570 2.783 2.556 2.442
0.01471 0.00000 9.87506 1.1072018147 2.4928820133    1.107  0.829  3.6897  3.364    3 2.698 5.556 3.472 2.679 2.450 2.333
0.01471 0.00000 9.87506 1.1080099344 2.4930157661    1.107  0.872  3.6885  3.316    3 2.590 5.472 3.375 2.575 2.343 2.224
0.01471 0.00000 9.87506 1.1087125540 2.4931318760    1.108  0.913  3.6872  3.270    3 2.487 5.393 3.282 2.476 2.242 2.121
0.01471 0.00000 9.87506 1.1095567942 2.4932711124    1.109  0.967  3.6855  3.210    3 2.354 5.294 3.163 2.348 2.110 1.986
0.01471 0.00000 9.87506 1.1101444960 2.4933679104    1.109  1.007  3.6842  3.165    3 2.252 5.221 3.074 2.251 2.010 1.884
0.01471 0.00000 9.87506 1.1108249426 2.4934797287    1.110  1.058  3.6823  3.106    3 2.125 5.131 2.962 2.130 1.885 1.755
0.01471 0.00000 9.87506 1.1113318205 2.4935631752    1.111  1.100  3.6807  3.059    3 2.021 5.060 2.871 2.031 1.783 1.651
0.01471 0.00000 9.87506 1.1119004488 2.4936563969    1.111  1.150  3.6787  3.000    3 1.894 4.978 2.763 1.911 1.659 1.523
0.01471 0.00000 9.87506 1.1124243736 2.4937422276    1.112  1.202  3.6764  2.939    3 1.764 4.895 2.652 1.789 1.532 1.393
0.01471 0.00000 9.87506 1.1128785610 2.4938166142    1.112  1.252  3.6742  2.881    3 1.640 4.818 2.548 1.673 1.412 1.268
0.01471 0.00000 9.87506 1.1132941246 2.4938845634    1.113  1.302  3.6719  2.822    3 1.515 4.742 2.443 1.557 1.290 1.142
0.01471 0.00000 9.87506 1.1136788130 2.4939475060    1.113  1.353  3.6695  2.761    3 1.388 4.667 2.337 1.439 1.167 1.015
0.01471 0.00000 9.87506 1.1140139103 2.4940023422    1.113  1.401  3.6670  2.704    3 1.268 4.600 2.240 1.329 1.052 0.895
0.01471 0.00000 9.87506 1.1143354177 2.4940547943    1.114  1.451  3.6645  2.644    3 1.143 4.532 2.140 1.215 0.932 0.771
0.01471 0.00000 9.87506 1.1146271229 2.4941022396    1.114  1.498  3.6619  2.586    3 1.024 4.468 2.044 1.106 0.817 0.651
0.01471 0.00000 9.87506 1.1149135828 2.4941489697    1.114  1.545  3.6594  2.530    3 0.909 4.408 1.952 1.002 0.707 0.537
0.01471 0.00000 9.87506 1.1152865887 2.4942097664    1.115  1.587  3.6572  2.478    3 0.802 4.361 1.869 0.905 0.605 0.430
